,Coniosporium_tulheliwenetii,Neophaeococcomyces_mojaviensis,Taxawa_tesnikishii
C40,1.0,0.0,0.0
M20X,1.0,2.0,1.0
S09X,29.0,50.0,48.0
M38,8.0,7.0,11.0
T01A,15.0,10.0,13.0
T01X,1.0,1.0,1.0
M10A,1.0,2.0,0.0
S26B,1.0,1.0,1.0
M28B,3.0,3.0,3.0
C19,18.0,15.0,16.0
M04,1.0,1.0,0.0
C26,9.0,7.0,10.0
A01A,5.0,13.0,9.0
I87,2.0,1.0,1.0
M24X,2.0,2.0,2.0
S01D,1.0,1.0,1.0
M16B,3.0,3.0,3.0
M49,2.0,1.0,1.0
S33,31.0,49.0,36.0
S09C,6.0,10.0,6.0
M01,4.0,3.0,4.0
M80,3.0,2.0,3.0
S08B,1.0,0.0,2.0
S54,4.0,4.0,2.0
C97,2.0,0.0,1.0
M67X,2.0,2.0,2.0
T02,2.0,1.0,2.0
C45,1.0,1.0,1.0
M03A,2.0,2.0,2.0
S14,1.0,1.0,1.0
C85B,1.0,1.0,1.0
M24A,3.0,2.0,2.0
C12,4.0,4.0,4.0
C15,1.0,0.0,1.0
C14B,1.0,2.0,1.0
C54,1.0,1.0,1.0
C02A,2.0,3.0,2.0
M67C,1.0,1.0,1.0
S09B,2.0,0.0,1.0
S08A,7.0,10.0,1.0
I51,2.0,1.0,1.0
M28E,3.0,2.0,1.0
M12B,1.0,0.0,1.0
C56,5.0,2.0,3.0
M28A,3.0,1.0,3.0
M20A,2.0,2.0,5.0
T03,2.0,2.0,2.0
M48A,1.0,0.0,1.0
C44,5.0,5.0,5.0
M16C,2.0,2.0,2.0
M19,2.0,2.0,1.0
C48,5.0,2.0,3.0
C85A,2.0,2.0,0.0
S16,2.0,1.0,2.0
S12,7.0,25.0,5.0
M28X,2.0,3.0,1.0
M18,2.0,2.0,2.0
C50,1.0,1.0,1.0
M10B,1.0,1.0,0.0
M20D,1.0,2.0,3.0
C115,1.0,1.0,1.0
T05,1.0,1.0,1.0
M24B,4.0,0.0,4.0
M06,1.0,1.0,0.0
S10,4.0,9.0,12.0
I09,2.0,1.0,0.0
M79,1.0,1.0,1.0
M43B,1.0,1.0,1.0
M67A,4.0,3.0,4.0
C01A,1.0,1.0,0.0
M14A,3.0,3.0,1.0
C01B,1.0,1.0,1.0
I32,1.0,1.0,1.0
C13,1.0,1.0,1.0
M20F,2.0,2.0,2.0
M16A,1.0,1.0,1.0
C110,2.0,2.0,1.0
M12A,1.0,1.0,0.0
M48C,1.0,1.0,1.0
S26A,2.0,2.0,2.0
M41,2.0,1.0,2.0
M54,1.0,0.0,0.0
M76,1.0,0.0,1.0
A28A,1.0,1.0,1.0
A22B,1.0,1.0,1.0
S59,1.0,1.0,1.0
M13,0.0,2.0,0.0
S01C,0.0,1.0,0.0
M81,0.0,1.0,0.0
C65,0.0,1.0,1.0
S28,0.0,3.0,1.0
M12X,0.0,1.0,0.0
S53,0.0,2.0,5.0
C78B,0.0,1.0,1.0
P01,0.0,1.0,1.0
S11,0.0,3.0,0.0
S46,0.0,1.0,0.0
I78,0.0,1.0,0.0
M15C,0.0,1.0,0.0
S01A,0.0,2.0,1.0
C39,0.0,1.0,0.0
M28D,0.0,1.0,0.0
S41A,0.0,1.0,0.0
T01B,0.0,1.0,0.0
S49A,0.0,1.0,0.0
S24,0.0,1.0,0.0
