,Coniosporium_tulheliwenetii,Neophaeococcomyces_mojaviensis,Taxawa_tesnikishii,descriptions
IPR001128,73,116,69,Cytochrome P450
IPR002403,14,15,13,"Cytochrome P450, E-class, group IV"
IPR036396,77,121,73,Cytochrome P450 superfamily
IPR000064,1,0,0,"Endopeptidase, NLPC/P60 domain"
IPR038765,46,39,39,Papain-like cysteine peptidase superfamily
IPR022703,2,4,1,Domain of unknown function DUF3533
IPR027417,417,551,397,P-loop containing nucleoside triphosphate hydrolase
IPR000796,3,3,3,Aspartate/other aminotransferase
IPR004838,5,6,3,"Aminotransferases, class-I, pyridoxal-phosphate-binding site"
IPR004839,16,17,17,"Aminotransferase, class I/classII"
IPR015421,45,49,49,"Pyridoxal phosphate-dependent transferase, major domain"
IPR015422,33,43,38,"Pyridoxal phosphate-dependent transferase, small domain"
IPR015424,45,50,51,Pyridoxal phosphate-dependent transferase
IPR008207,1,2,1,"Signal transduction histidine kinase, phosphotransfer (Hpt) domain"
IPR036641,1,2,1,HPT domain superfamily
IPR045871,1,1,1,Histidine-containing phosphotransfer protein 1-5/Phosphorelay intermediate protein YPD1
IPR009210,1,1,1,Activating signal cointegrator 1 complex subunit 1
IPR019510,1,1,1,"Protein kinase A anchor protein, nuclear localisation signal domain"
IPR001250,2,2,2,"Mannose-6-phosphate isomerase, type I"
IPR011051,24,46,30,RmlC-like cupin domain superfamily
IPR014710,26,48,32,RmlC-like jelly roll fold
IPR016305,2,2,2,Mannose-6-phosphate isomerase
IPR008630,5,6,5,Glycosyltransferase 34
IPR029044,48,55,46,Nucleotide-diphospho-sugar transferases
IPR004087,8,9,8,K Homology domain
IPR004088,8,7,9,"K Homology domain, type 1"
IPR036612,11,9,12,"K Homology domain, type 1 superfamily"
IPR002401,48,83,50,"Cytochrome P450, E-class, group I"
IPR017972,40,71,43,"Cytochrome P450, conserved site"
IPR036514,7,7,10,SGNH hydrolase superfamily
IPR000674,1,2,1,"Aldehyde oxidase/xanthine dehydrogenase, a/b hammerhead"
IPR001041,4,6,3,2Fe-2S ferredoxin-type iron-sulfur binding domain
IPR002346,1,2,1,"Molybdopterin dehydrogenase, FAD-binding"
IPR002888,1,2,1,[2Fe-2S]-binding
IPR005107,1,2,1,"CO dehydrogenase flavoprotein, C-terminal"
IPR006058,2,4,1,"2Fe-2S ferredoxin, iron-sulphur binding site"
IPR008274,1,2,1,"Aldehyde oxidase/xanthine dehydrogenase, first molybdopterin binding domain"
IPR012675,8,11,8,Beta-grasp domain superfamily
IPR016166,19,20,16,"FAD-binding domain, PCMH-type"
IPR016167,10,8,11,"FAD-binding, type PCMH, subdomain 1"
IPR016169,19,20,18,"FAD-binding, type PCMH, subdomain 2"
IPR016208,1,2,1,Aldehyde oxidase/xanthine dehydrogenase
IPR022407,2,1,1,"Oxidoreductase, molybdopterin binding site"
IPR036010,4,6,3,2Fe-2S ferredoxin-like superfamily
IPR036318,19,20,18,"FAD-binding, type PCMH-like superfamily"
IPR036683,1,2,1,"CO dehydrogenase flavoprotein, C-terminal domain superfamily"
IPR036856,1,2,1,"Aldehyde oxidase/xanthine dehydrogenase, a/b hammerhead superfamily"
IPR036884,1,2,1,[2Fe-2S]-binding domain superfamily
IPR037165,1,2,1,"Aldehyde oxidase/xanthine dehydrogenase, molybdopterin binding domain superfamily"
IPR000086,14,14,13,NUDIX hydrolase domain
IPR015797,15,15,13,NUDIX hydrolase-like domain superfamily
IPR007472,1,1,1,"N-end rule aminoacyl transferase, C-terminal"
IPR016181,33,50,48,Acyl-CoA N-acyltransferase
IPR030700,1,1,1,N-end rule aminoacyl transferase
IPR001104,4,2,4,"3-oxo-5-alpha-steroid 4-dehydrogenase, C-terminal"
IPR039357,1,1,2,3-oxo-5-alpha-steroid 4-dehydrogenase/very-long-chain enoyl-CoA reductase
IPR010255,9,5,9,Haem peroxidase superfamily
IPR019791,4,3,3,"Haem peroxidase, animal-type"
IPR034812,2,3,1,"Psi-factor producing oxygenase, N-terminal heme peroxidase domain"
IPR037120,4,3,3,"Haem peroxidase domain superfamily, animal type"
IPR010326,1,1,1,Exocyst complex component EXOC3/Sec6
IPR042532,1,1,1,"Exocyst complex component EXOC3/Sec6, C-terminal domain"
IPR000740,1,2,1,GrpE nucleotide exchange factor
IPR009012,1,2,1,"GrpE nucleotide exchange factor, head"
IPR013805,1,2,1,"GrpE nucleotide exchange factor, coiled-coil"
IPR011262,2,2,2,"DNA-directed RNA polymerase, insert domain"
IPR011263,2,2,2,"DNA-directed RNA polymerase, RpoA/D/Rpb3-type"
IPR036603,4,3,4,"RNA polymerase, RBP11-like subunit"
IPR036643,2,2,2,"DNA-directed RNA polymerase, insert domain superfamily"
IPR006931,1,1,1,Calcipressin
IPR011032,52,99,55,GroES-like superfamily
IPR012677,72,64,72,Nucleotide-binding alpha-beta plait domain superfamily
IPR013149,45,69,39,"Alcohol dehydrogenase-like, C-terminal"
IPR013154,40,75,40,"Alcohol dehydrogenase, N-terminal"
IPR020843,41,76,37,"Polyketide synthase, enoylreductase domain"
IPR035979,69,65,73,RNA-binding domain superfamily
IPR036291,329,508,331,NAD(P)-binding domain superfamily
IPR005996,1,1,1,"Ribosomal protein L30, bacterial-type"
IPR016082,2,2,2,"Ribosomal protein L30, ferredoxin-like fold domain"
IPR036919,2,2,2,"Ribosomal protein L30, ferredoxin-like fold domain superfamily"
IPR007400,2,1,2,PrpF protein
IPR011989,87,76,90,Armadillo-like helical
IPR012978,1,1,1,Uncharacterised domain NUC173
IPR016024,124,107,124,Armadillo-type fold
IPR006094,18,18,13,"FAD linked oxidase, N-terminal"
IPR007173,2,2,1,"D-arabinono-1,4-lactone oxidase, C-terminal domain"
IPR010031,3,2,1,"L-gulonolactone/D-arabinono-1,4-lactone oxidase"
IPR023198,7,9,6,"Phosphoglycolate phosphatase-like, domain 2"
IPR023214,53,56,49,HAD superfamily
IPR036412,54,60,49,HAD-like superfamily
IPR041492,9,12,6,Haloacid dehalogenase-like hydrolase
IPR001680,105,108,108,WD40 repeat
IPR009917,1,1,0,SRA1/Sec31
IPR015943,145,140,145,WD40/YVTN repeat-like-containing domain superfamily
IPR036322,121,122,119,WD40-repeat-containing domain superfamily
IPR040251,1,1,1,Protein transport protein SEC31-like
IPR000504,62,58,62,RNA recognition motif domain
IPR034168,1,0,1,"Peptidyl-prolyl cis-trans isomerase E, RNA recognition motif"
IPR003213,2,1,2,"Cytochrome c oxidase, subunit VIb"
IPR036549,2,1,2,"Cytochrome c oxidase, subunit VIb superfamily"
IPR001126,4,2,4,UmuC domain
IPR017961,4,2,4,"DNA polymerase, Y-family, little finger domain"
IPR036775,4,2,4,"DNA polymerase, Y-family, little finger domain superfamily"
IPR043128,4,4,4,Reverse transcriptase/Diguanylate cyclase domain
IPR043502,10,8,11,DNA/RNA polymerase superfamily
IPR002129,6,4,6,Pyridoxal phosphate-dependent decarboxylase
IPR024974,1,0,1,"Sde2, N-terminal ubiquitin domain"
IPR005326,1,1,1,"Plectin/S10, N-terminal"
IPR036388,61,83,60,Winged helix-like DNA-binding domain superfamily
IPR037447,1,1,1,40S Ribosomal protein S10
IPR002933,7,8,10,Peptidase M20
IPR010158,1,2,1,"Amidase, carbamoylase-type"
IPR011650,7,5,11,"Peptidase M20, dimerisation domain"
IPR036264,5,6,8,Bacterial exopeptidase dimerisation domain
IPR003593,89,105,87,AAA+ ATPase domain
IPR008921,6,5,6,"DNA polymerase III, clamp loader complex, gamma/delta/delta subunit, C-terminal"
IPR000159,3,3,2,Ras-associating (RA) domain
IPR000719,120,121,109,Protein kinase domain
IPR001660,7,6,7,Sterile alpha motif domain
IPR008271,90,85,84,"Serine/threonine-protein kinase, active site"
IPR011009,158,165,137,Protein kinase-like domain superfamily
IPR013761,8,8,8,Sterile alpha motif/pointed domain superfamily
IPR017441,56,55,59,"Protein kinase, ATP binding site"
IPR029458,1,1,1,Ras-binding domain of Byr2
IPR006553,4,3,4,"Leucine-rich repeat, cysteine-containing subtype"
IPR032675,33,36,30,Leucine-rich repeat domain superfamily
IPR001926,10,9,12,Pyridoxal-phosphate dependent enzyme
IPR002028,1,0,1,"Tryptophan synthase, alpha chain"
IPR006653,1,0,1,"Tryptophan synthase, beta chain, conserved site"
IPR006654,1,0,1,"Tryptophan synthase, beta chain"
IPR011060,7,5,7,Ribulose-phosphate binding barrel
IPR013785,74,84,74,Aldolase-type TIM barrel
IPR018204,1,0,1,"Tryptophan synthase, alpha chain, active site"
IPR023026,1,0,1,Tryptophan synthase beta chain/beta chain-like
IPR036052,10,9,12,Tryptophan synthase beta subunit-like PLP-dependent enzyme
IPR003663,55,67,63,Sugar/inositol transporter
IPR005828,69,96,83,"Major facilitator,  sugar transporter-like"
IPR020846,155,316,222,Major facilitator superfamily domain
IPR036259,227,386,325,MFS transporter superfamily
IPR013725,1,1,1,"DNA replication factor RFC1, C-terminal"
IPR001357,18,12,13,BRCT domain
IPR003959,45,46,42,"ATPase, AAA-type, core"
IPR012178,1,1,1,Replication factor C subunit 1
IPR036420,19,14,17,BRCT domain superfamily
IPR000114,1,2,1,Ribosomal protein L16
IPR016180,1,2,1,Ribosomal protein L10e/L16
IPR020798,1,2,1,"Ribosomal protein L16, conserved site"
IPR036920,1,2,1,Ribosomal protein L10e/L16 superfamily
IPR003020,3,1,2,"Bicarbonate transporter, eukaryotic"
IPR011531,3,1,2,"Bicarbonate transporter-like, transmembrane domain"
IPR026749,3,2,1,Transmembrane protein 135
IPR011598,8,9,10,"Myc-type, basic helix-loop-helix (bHLH) domain"
IPR036638,9,9,10,Helix-loop-helix DNA-binding domain superfamily
IPR000194,4,6,4,"ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain"
IPR004100,4,6,4,"ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain"
IPR005723,1,1,1,"ATPase, V1 complex, subunit B"
IPR020003,3,6,5,"ATPase, alpha/beta subunit, nucleotide-binding domain, active site"
IPR022879,1,1,1,V-type ATP synthase regulatory subunit B/beta
IPR029005,1,0,2,LIM-domain binding protein/SEUSS
IPR001163,10,11,14,"LSM domain, eukaryotic/archaea-type"
IPR010920,13,18,19,LSM domain superfamily
IPR034104,1,1,1,Sm-like protein Lsm1
IPR044642,1,1,2,U6 snRNA-associated Sm-like protein Lsm1/8
IPR004601,2,1,1,UV-endonuclease UvdE
IPR000873,30,56,38,AMP-dependent synthetase/ligase
IPR020845,24,44,27,"AMP-binding, conserved site"
IPR025110,17,36,18,"AMP-binding enzyme, C-terminal domain"
IPR042099,28,55,35,"ANL, N-terminal domain"
IPR045851,23,49,29,"AMP-binding enzyme, C-terminal domain superfamily"
IPR004636,1,1,0,Acetylornithine/Succinylornithine transaminase family
IPR005814,5,10,8,Aminotransferase class-III
IPR006680,13,21,21,Amidohydrolase-related
IPR032466,23,36,36,Metal-dependent hydrolase
IPR013094,20,36,21,Alpha/beta hydrolase fold-3
IPR029058,155,257,200,Alpha/Beta hydrolase fold
IPR033140,2,0,4,"Lipase, GDXG, putative serine active site"
IPR003492,1,1,1,Batten's disease protein Cln3
IPR018460,1,1,1,"Batten's disease protein Cln3, subgroup"
IPR013951,1,1,1,Histone deacetylation protein Rxt3
IPR036609,2,3,2,LCCL domain superfamily
IPR000711,1,1,1,"ATPase, OSCP/delta subunit"
IPR020781,1,0,1,"ATPase, OSCP/delta subunit, conserved site"
IPR026015,1,1,1,"F1F0 ATP synthase OSCP/delta subunit, N-terminal domain superfamily"
IPR003108,1,1,1,GAR domain
IPR019595,1,1,1,Domain of unknown function DUF2470
IPR037119,1,1,1,Haem oxygenase HugZ-like superfamily
IPR001345,2,3,3,"Phosphoglycerate/bisphosphoglycerate mutase, active site"
IPR003094,4,5,3,"Fructose-2,6-bisphosphatase"
IPR013078,10,16,11,"Histidine phosphatase superfamily, clade-1"
IPR013079,4,5,3,6-phosphofructo-2-kinase
IPR029033,17,27,24,Histidine phosphatase superfamily
IPR000330,27,27,27,"SNF2, N-terminal"
IPR001650,72,82,84,"Helicase, C-terminal"
IPR014001,74,83,94,"Helicase superfamily 1/2, ATP-binding domain"
IPR038718,26,26,26,"SNF2-like, N-terminal domain superfamily"
IPR008775,7,15,7,Phytanoyl-CoA dioxygenase
IPR016435,3,2,3,Diphthamide synthesis DPH1/DPH2
IPR042264,2,1,1,"Diphthamide synthesis DPH1/DPH2, domain 2"
IPR042265,2,2,2,"Diphthamide synthesis DPH1/DPH2, domain 3"
IPR042263,2,2,2,"Diphthamide synthesis DPH1/DPH2, domain 1"
IPR000138,1,0,0,"Hydroxymethylglutaryl-CoA lyase, active site"
IPR000891,4,6,4,Pyruvate carboxyltransferase
IPR043594,1,3,1,HMG-CoA lyase
IPR002938,21,78,56,FAD-binding domain
IPR010451,1,1,2,Acetoacetate decarboxylase
IPR023375,1,2,2,Acetoacetate decarboxylase domain superfamily
IPR036188,114,214,158,FAD/NAD(P)-binding domain superfamily
IPR013096,5,17,7,"Cupin 2, conserved barrel"
IPR004183,2,3,2,"Extradiol ring-cleavage dioxygenase, class III enzyme, subunit B"
IPR014436,2,3,2,"Extradiol aromatic ring-opening dioxygenase, DODA-type"
