,Coniosporium_tulheliwenetii,Neophaeococcomyces_mojaviensis,Taxawa_tesnikishii,descriptions
PF00067,57,98,60,Cytochrome P450
PF00877,1,0,0,NlpC/P60 family
PF12051,2,4,1,Protein of unknown function (DUF3533)
PF00155,15,21,16,Aminotransferase class I and II
PF01627,1,2,1,Hpt domain
PF01238,2,2,2,Phosphomannose isomerase type I C-terminal
PF20511,2,2,2,"Phosphomannose isomerase type I, catalytic domain"
PF05637,2,2,3,galactosyl transferase GMA12/MNN10 family
PF00013,7,6,8,KH domain
PF00111,3,5,2,2Fe-2S iron-sulfur cluster binding domain
PF00941,1,2,1,FAD binding domain in molybdopterin dehydrogenase
PF01315,1,2,1,"Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain"
PF01799,1,2,1,[2Fe-2S] binding domain
PF02738,1,2,1,Molybdopterin cofactor-binding domain
PF03450,1,1,1,CO dehydrogenase flavoprotein C-terminal domain
PF20256,1,2,1,Molybdopterin cofactor-binding domain
PF00293,13,13,13,NUDIX domain
PF04377,1,1,1,"Arginine-tRNA-protein transferase, C terminus"
PF02544,1,1,3,3-oxo-5-alpha-steroid 4-dehydrogenase
PF06046,1,1,1,Exocyst complex component Sec6
PF01025,1,2,1,GrpE
PF01000,2,2,2,RNA polymerase Rpb3/RpoA insert domain
PF01193,4,3,4,RNA polymerase Rpb3/Rpb11 dimerisation domain
PF00107,48,79,42,Zinc-binding dehydrogenase
PF04847,1,1,1,Calcipressin
PF08240,40,74,38,Alcohol dehydrogenase GroES-like domain
PF13602,18,42,14,Zinc-binding dehydrogenase
PF00327,2,2,2,Ribosomal protein L30p/L7e
PF04303,2,1,1,PrpF protein
PF08161,1,1,1,NUC173 domain
PF01565,18,18,13,FAD binding domain
PF04030,2,2,1,"D-arabinono-1,4-lactone oxidase"
PF00702,26,29,20,haloacid dehalogenase-like hydrolase
PF12710,5,6,3,haloacid dehalogenase-like hydrolase
PF13419,10,12,6,Haloacid dehalogenase-like hydrolase
PF07304,1,1,0,Steroid receptor RNA activator (SRA1)
PF00076,56,54,58,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
PF02297,2,1,2,Cytochrome oxidase c subunit VIb
PF00817,4,2,4,impB/mucB/samB family
PF11799,4,2,3,impB/mucB/samB family C-terminal domain
PF13019,1,0,1,Silencing defective 2 N-terminal ubiquitin domain
PF03501,1,1,1,Plectin/S10 domain
PF01546,7,8,10,Peptidase family M20/M25/M40
PF07687,7,5,11,Peptidase dimerisation domain
PF00004,48,48,43,ATPase family associated with various cellular activities (AAA)
PF13177,2,2,3,"DNA polymerase III, delta subunit"
PF00069,98,102,94,Protein kinase domain
PF00536,5,5,6,SAM domain (Sterile alpha motif)
PF00788,3,3,1,Ras association (RalGDS/AF-6) domain
PF07647,7,6,7,SAM domain (Sterile alpha motif)
PF07714,97,91,89,Protein tyrosine and serine/threonine kinase
PF14847,1,1,1,Ras-binding domain of Byr2
PF00290,1,0,1,Tryptophan synthase alpha chain
PF00291,10,9,12,Pyridoxal-phosphate dependent enzyme
PF00083,60,93,76,Sugar (and other) transporter
PF07690,164,341,255,Major Facilitator Superfamily
PF08519,1,1,1,Replication factor RFC1 C terminal domain
PF00533,9,6,8,BRCA1 C Terminus (BRCT) domain
PF03215,2,2,4,Rad17 P-loop domain
PF00252,1,2,1,Ribosomal protein L16p/L10e
PF00010,7,8,10,Helix-loop-helix DNA-binding domain
PF00006,4,6,4,"ATP synthase alpha/beta family, nucleotide-binding domain"
PF02874,4,6,4,"ATP synthase alpha/beta family, beta-barrel domain"
PF01803,1,0,0,LIM-domain binding protein
PF01423,10,11,14,LSM domain
PF03851,1,1,1,UV-endonuclease UvdE
PF00501,26,50,33,AMP-binding enzyme
PF13193,17,36,18,AMP-binding enzyme C-terminal domain
PF00202,3,9,6,Aminotransferase class-III
PF07859,20,36,24,alpha/beta hydrolase fold
PF08642,1,1,1,Histone deacetylation protein Rxt3
PF00213,1,1,1,ATP synthase delta (OSCP) subunit
PF10615,1,1,1,Domain of unknown function (DUF2470)
PF00300,9,12,10,Histidine phosphatase superfamily (branch 1)
PF01591,3,4,2,6-phosphofructo-2-kinase
PF00176,25,25,25,SNF2-related domain
PF00271,70,81,83,Helicase conserved C-terminal domain
PF05721,7,15,7,Phytanoyl-CoA dioxygenase (PhyH)
PF01494,19,64,49,FAD binding domain
PF06314,1,1,1,Acetoacetate decarboxylase (ADC)
PF07883,7,20,12,Cupin domain
PF02900,2,3,2,Catalytic LigB subunit of aromatic ring-opening dioxygenase
PF04082,44,118,54,Fungal specific transcription factor domain
PF02129,2,14,3,X-Pro dipeptidyl-peptidase (S15 family)
PF08530,1,13,4,X-Pro dipeptidyl-peptidase C-terminal non-catalytic domain
PF01302,3,5,4,CAP-Gly domain
PF12455,1,1,1,Dynein associated protein
PF00005,34,42,35,ABC transporter
PF06985,49,108,28,Heterokaryon incompatibility protein (HET)
PF08551,1,1,1,Eukaryotic integral membrane protein (DUF1751)
PF08513,3,2,2,LisH
PF00149,16,16,18,Calcineurin-like phosphoesterase
PF12850,1,3,1,Calcineurin-like phosphoesterase superfamily domain
PF06920,1,0,0,"DHR-2, Lobe A"
PF14429,1,0,1,C2 domain in Dock180 and Zizimin proteins
PF16172,1,0,1,DOCK N-terminus
PF01239,2,2,2,Protein prenyltransferase alpha subunit repeat
PF00400,87,90,89,"WD domain, G-beta repeat"
PF00153,28,36,35,Mitochondrial carrier protein
PF03147,1,1,1,Ferredoxin-fold anticodon binding domain
PF01201,2,2,2,Ribosomal protein S8e
PF02518,20,33,32,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
PF10436,3,3,3,Mitochondrial branched-chain alpha-ketoacid dehydrogenase kinase
PF08690,1,0,1,GET complex subunit GET2
PF07896,1,1,0,Protein of unknown function (DUF1674)
PF17856,2,1,2,TIP49 AAA-lid domain
PF00439,6,7,7,Bromodomain
PF17035,1,2,1,Bromodomain extra-terminal - transcription regulation
PF00939,1,1,1,Sodium:sulfate symporter transmembrane region
PF03600,1,2,1,Citrate transporter
PF00780,3,3,3,CNH domain
PF10366,1,1,1,Vacuolar sorting protein 39 domain 1
PF10367,2,2,2,Vacuolar sorting protein 39 domain 2
PF08539,1,1,1,HbrB-like
PF01092,1,0,1,Ribosomal protein S6e
PF00097,31,25,23,"Zinc finger, C3HC4 type (RING finger)"
PF12861,6,2,2,Anaphase-promoting complex subunit 11 RING-H2 finger
PF13445,19,16,12,RING-type zinc-finger
PF13639,30,22,22,Ring finger domain
PF13923,16,15,13,"Zinc finger, C3HC4 type (RING finger)"
PF14634,6,2,6,zinc-RING finger domain
PF00156,3,7,4,Phosphoribosyl transferase domain
PF13793,2,3,3,N-terminal domain of ribose phosphate pyrophosphokinase
PF14572,3,2,3,Phosphoribosyl synthetase-associated domain
PF06966,4,4,3,Protein of unknown function (DUF1295)
PF09792,4,2,4,Ubiquitin 3 binding protein But2 C-terminal domain
PF12698,1,1,1,ABC-2 family transporter protein
PF02469,4,4,2,Fasciclin domain
PF13241,3,2,2,Putative NAD(P)-binding
PF09696,1,0,1,Ctf8
PF00550,11,15,9,Phosphopantetheine attachment site
PF01370,29,50,35,NAD dependent epimerase/dehydratase family
PF07993,10,10,12,Male sterility protein
PF07543,1,1,0,Protein trafficking PGA2
PF15630,2,1,0,CENP-S protein
PF00636,4,4,5,Ribonuclease III domain
PF14622,4,5,4,Ribonuclease-III-like
PF03637,3,3,2,Mob1/phocein family
PF00168,9,11,11,C2 domain
PF00566,11,9,11,Rab-GTPase-TBC domain
PF13094,1,1,0,"CENP-Q, a CENPA-CAD centromere complex subunit"
PF00227,12,12,13,Proteasome subunit
PF10584,6,5,7,Proteasome subunit A N-terminal signature
PF17389,2,6,3,Bacterial alpha-L-rhamnosidase 6 hairpin glycosidase domain
PF08712,1,1,1,Scaffold protein Nfu/NifU N terminal
PF12898,1,1,1,Stc1 domain
PF00617,4,4,4,RasGEF domain
PF00618,4,4,4,RasGEF N-terminal motif
PF00175,11,18,14,Oxidoreductase NAD-binding domain
